# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			6961328	6961328	6961328
N_multimapping			4419194	4419194	4419194
N_noFeature			1891287	27782862	27639967
N_ambiguous			6484715	1695496	1715678
ENSG00000000003.15	TSPAN6	protein_coding	361	174	188	5.8836	1.6887	1.6703
ENSG00000000005.6	TNMD	protein_coding	26	17	9	1.3023	0.3738	0.3697
ENSG00000000419.13	DPM1	protein_coding	1893	921	972	115.9459	33.2787	32.9149
ENSG00000000457.14	SCYL3	protein_coding	647	504	528	6.9493	1.9946	1.9728
ENSG00000000460.17	C1orf112	protein_coding	352	428	358	4.3589	1.2511	1.2374
ENSG00000000938.13	FGR	protein_coding	314	171	145	6.8639	1.9701	1.9485
ENSG00000000971.16	CFH	protein_coding	269	138	131	2.4921	0.7153	0.7075
ENSG00000001036.14	FUCA2	protein_coding	1174	920	888	30.7555	8.8274	8.7309
ENSG00000001084.13	GCLC	protein_coding	2064	1203	1252	17.7058	5.0819	5.0264
ENSG00000001167.14	NFYA	protein_coding	1014	547	610	19.6703	5.6457	5.5840
ENSG00000001460.18	STPG1	protein_coding	37	24	19	0.3214	0.0922	0.0912
ENSG00000001461.17	NIPAL3	protein_coding	287	158	134	2.2581	0.6481	0.6410
ENSG00000001497.18	LAS1L	protein_coding	2367	1201	1177	13.9378	4.0004	3.9567
ENSG00000001561.7	ENPP4	protein_coding	1894	959	935	30.1509	8.6539	8.5593
ENSG00000001617.12	SEMA3F	protein_coding	848	405	450	12.9903	3.7285	3.6877
ENSG00000001626.16	CFTR	protein_coding	65	35	36	0.4833	0.1387	0.1372
ENSG00000001629.10	ANKIB1	protein_coding	5212	2564	2667	52.1472	14.9672	14.8036
ENSG00000001630.17	CYP51A1	protein_coding	191	108	92	4.0012	1.1484	1.1359
ENSG00000001631.16	KRIT1	protein_coding	278	137	159	3.3127	0.9508	0.9404
ENSG00000002016.18	RAD52	protein_coding	665	332	335	10.9177	3.1336	3.0993
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene	4	5	6	0.0469	0.0135	0.0133
ENSG00000002330.14	BAD	protein_coding	1361	2668	2513	58.9091	16.9080	16.7232
ENSG00000002549.12	LAP3	protein_coding	5266	2624	2643	102.8554	29.5214	29.1988
ENSG00000002586.20	CD99	protein_coding	41004	20024	20986	623.9946	179.0983	177.1407
